Algorithm,Execution Time
TimSort,0.00015759070000083457
Quick Sort,0.0045517218999984585
Radix Sort,0.0047782084000008735
Shell Sort,0.006925659399998405
Merge Sort,0.007293095875001246
Heap Sort,0.012922341649998063
Insertion Sort,0.810423067699998
Selection Sort,0.971001878199999
Bubble Sort,2.0607602416999984
