Algorithm,Case,Input Size,Execution Time
Quick Sort,Sorted,1000,0.0005197079999987864
Heap Sort,Sorted,1000,0.0017339159999991693
Radix Sort,Sorted,1000,0.0004734579999947641
TimSort,Sorted,1000,1.0709000001440927e-05
Bubble Sort,Sorted,2500,0.09632287499999848
Insertion Sort,Sorted,2500,0.00015624999999630518
Selection Sort,Sorted,2500,0.07301120899999347
Shell Sort,Sorted,2500,0.0012233329999986609
Merge Sort,Sorted,2500,0.002028374999994753
Quick Sort,Sorted,2500,0.0014401660000018524
Heap Sort,Sorted,2500,0.004555207999999311
Radix Sort,Sorted,2500,0.0015466249999960269
TimSort,Sorted,2500,1.3834000000656488e-05
Bubble Sort,Sorted,5000,0.40001833299999845
Insertion Sort,Sorted,5000,0.0003378329999961238
Selection Sort,Sorted,5000,0.29650041600000066
Shell Sort,Sorted,5000,0.002727374999999199
Merge Sort,Sorted,5000,0.004555750000001524
Quick Sort,Sorted,5000,0.0029230829999988828
Heap Sort,Sorted,5000,0.009809124999996754
Radix Sort,Sorted,5000,0.0032970419999998057
TimSort,Sorted,5000,2.145799999908604e-05
Bubble Sort,Sorted,7500,0.9033665830000004
Insertion Sort,Sorted,7500,0.00045408300000104873
Selection Sort,Sorted,7500,0.6587965000000011
Shell Sort,Sorted,7500,0.003964250000002778
Merge Sort,Sorted,7500,0.006634249999997621
Quick Sort,Sorted,7500,0.00457720800000061
Heap Sort,Sorted,7500,0.015208917000002486
Radix Sort,Sorted,7500,0.004871375000000455
TimSort,Sorted,7500,3.0041000002256624e-05
Bubble Sort,Sorted,10000,1.6098826670000008
Insertion Sort,Sorted,10000,0.0006190000000003693
Selection Sort,Sorted,10000,1.1635230830000012
Shell Sort,Sorted,10000,0.005843042000002185
Merge Sort,Sorted,10000,0.0091002919999994
Quick Sort,Sorted,10000,0.006540417000003629
Heap Sort,Sorted,10000,0.02152854100000212
Radix Sort,Sorted,10000,0.0064502919999966934
TimSort,Sorted,10000,4.691600000228391e-05
Bubble Sort,Sorted,15000,3.6590529580000037
Insertion Sort,Sorted,15000,0.0009112500000014734
Selection Sort,Sorted,15000,2.657004833000002
Shell Sort,Sorted,15000,0.00884045800000166
Merge Sort,Sorted,15000,0.014006375000001015
Quick Sort,Sorted,15000,0.009532999999997571
Heap Sort,Sorted,15000,0.034077916999997626
Radix Sort,Sorted,15000,0.012117457999998749
TimSort,Sorted,15000,4.62090000041826e-05
Bubble Sort,Sorted,20000,6.552612875000001
Insertion Sort,Sorted,20000,0.0013245829999988246
Selection Sort,Sorted,20000,4.7159686669999985
Shell Sort,Sorted,20000,0.012839084000006551
Merge Sort,Sorted,20000,0.01951729099999966
Quick Sort,Sorted,20000,0.013802917000006687
Heap Sort,Sorted,20000,0.04573983299999895
Radix Sort,Sorted,20000,0.016034874999988347
TimSort,Sorted,20000,7.166599999663958e-05
Bubble Sort,Reversed,100,0.0003184170000025688
Insertion Sort,Reversed,100,0.00021233300000744748
Selection Sort,Reversed,100,0.00012979199999563207
Shell Sort,Reversed,100,4.641700000718174e-05
Merge Sort,Reversed,100,7.516600000201379e-05
Quick Sort,Reversed,100,5.5291999998985375e-05
Heap Sort,Reversed,100,9.737500000994714e-05
Radix Sort,Reversed,100,6.150000000104683e-05
TimSort,Reversed,100,1.8329999988964119e-06
Bubble Sort,Reversed,250,0.001838541999987342
Insertion Sort,Reversed,250,0.0012977909999989379
Selection Sort,Reversed,250,0.0007081669999990936
Shell Sort,Reversed,250,0.0001317909999869471
Merge Sort,Reversed,250,0.00019587500000284308
Quick Sort,Reversed,250,0.00011499999999387
Heap Sort,Reversed,250,0.00024924999999598185
Radix Sort,Reversed,250,0.00011945899998977438
TimSort,Reversed,250,1.7090000028474606e-06
Bubble Sort,Reversed,500,0.00831850000000145
Insertion Sort,Reversed,500,0.00566933399998959
Selection Sort,Reversed,500,0.003025082999997153
Shell Sort,Reversed,500,0.0003127920000025597
Merge Sort,Reversed,500,0.00038883400000599977
Quick Sort,Reversed,500,0.00026704100000074504
Heap Sort,Reversed,500,0.0005782079999931966
Radix Sort,Reversed,500,0.0002427919999945516
TimSort,Reversed,500,3.249999991794539e-06
Bubble Sort,Reversed,1000,0.03537970799999357
Insertion Sort,Reversed,1000,0.023527999999998883
Selection Sort,Reversed,1000,0.012332874999998467
Shell Sort,Reversed,1000,0.0006502920000031054
Merge Sort,Reversed,1000,0.0007937499999997044
Quick Sort,Reversed,1000,0.0005206659999998919
Heap Sort,Reversed,1000,0.0013400830000023234
Radix Sort,Reversed,1000,0.0006190000000003693
TimSort,Reversed,1000,5.125000001271474e-06
Bubble Sort,Reversed,2500,0.23235408300000415
Insertion Sort,Reversed,2500,0.14898487499999646
Selection Sort,Reversed,2500,0.07625512500000298
Shell Sort,Reversed,2500,0.0020157909999909407
Merge Sort,Reversed,2500,0.0021168749999986858
Quick Sort,Reversed,2500,0.0016116249999953425
Heap Sort,Reversed,2500,0.003843917000011743
Radix Sort,Reversed,2500,0.0016152919999967708
TimSort,Reversed,2500,8.209000000647393e-06
Bubble Sort,Reversed,5000,0.9572601250000048
Insertion Sort,Reversed,5000,0.6300086669999985
Selection Sort,Reversed,5000,0.3050377080000004
Shell Sort,Reversed,5000,0.004373375000000124
Merge Sort,Reversed,5000,0.004704250000003185
Quick Sort,Reversed,5000,0.0030648339999999052
Heap Sort,Reversed,5000,0.008982875000000945
Radix Sort,Reversed,5000,0.003284957999994731
TimSort,Reversed,5000,2.1500000002561137e-05
Bubble Sort,Reversed,7500,2.1543012079999926
Insertion Sort,Reversed,7500,1.4045296669999914
Selection Sort,Reversed,7500,0.6848209169999961
Shell Sort,Reversed,7500,0.006921957999992401
Merge Sort,Reversed,7500,0.006882042000000865
Quick Sort,Reversed,7500,0.004776333000009458
Heap Sort,Reversed,7500,0.013852708000001712
Radix Sort,Reversed,7500,0.004860875000005649
TimSort,Reversed,7500,2.6208000008409726e-05
Bubble Sort,Reversed,10000,3.8688170830000104
Insertion Sort,Reversed,10000,2.5587054580000057
Selection Sort,Reversed,10000,1.2122870419999998
Shell Sort,Reversed,10000,0.009744959000002495
Merge Sort,Reversed,10000,0.009854459000010252
Quick Sort,Reversed,10000,0.006603874999996151
Heap Sort,Reversed,10000,0.01980695799998955
Radix Sort,Reversed,10000,0.007978167000004532
TimSort,Reversed,10000,3.616600000100334e-05
Bubble Sort,Reversed,15000,8.700002125000012
Insertion Sort,Reversed,15000,5.656509999999997
Selection Sort,Reversed,15000,2.752503791999999
Shell Sort,Reversed,15000,0.015122708000006924
Merge Sort,Reversed,15000,0.014872499999995625
Quick Sort,Reversed,15000,0.010171665999990864
Heap Sort,Reversed,15000,0.030512665999992805
Radix Sort,Reversed,15000,0.011912416999990683
TimSort,Reversed,15000,4.9457999992341684e-05
Bubble Sort,Reversed,20000,15.48580029099999
Insertion Sort,Reversed,20000,10.298496749999998
Selection Sort,Reversed,20000,4.89582424999999
Shell Sort,Reversed,20000,0.02120074999999133
Merge Sort,Reversed,20000,0.020763083000019833
Quick Sort,Reversed,20000,0.014037709000007226
Heap Sort,Reversed,20000,0.04196262499999648
Radix Sort,Reversed,20000,0.016518125000004602
TimSort,Reversed,20000,6.183300001794123e-05
Bubble Sort,Nearly Sorted,100,0.00015841600000499056
Insertion Sort,Nearly Sorted,100,2.8166999982204288e-05
